date,next_date,tenor,regime,forecast_p10,forecast_p50,forecast_p90,realized,in_band
2010-03-25,2010-03-26,USGG2YR Index,2,1.065281708042393,1.1568958040886586,1.250265473871776,1.0396,False
2010-03-25,2010-03-26,USGG3YR Index,2,1.5636286041126837,1.6597739556462727,1.7566814642125084,1.6136,True
2010-03-25,2010-03-26,USGG5YR Index,2,2.41657008179671,2.5248125759782067,2.633012105719934,2.5871,True
2010-03-25,2010-03-26,USGG7YR Index,2,3.105956593546987,3.225389140712235,3.346974374726555,3.3105,True
2010-03-25,2010-03-26,USGG10YR Index,2,3.877664734200077,4.011252413450361,4.146509673612938,3.8468,False
2010-03-25,2010-03-26,USGG30YR Index,2,4.6276626569919275,4.745534640543404,4.863649895476212,4.7457,True
2010-03-26,2010-03-29,USGG2YR Index,2,1.024196649320366,1.1103289188403962,1.2028062054237363,1.0396,True
2010-03-26,2010-03-29,USGG3YR Index,2,1.5284007031232048,1.6167954133600966,1.715314859916918,1.6192,True
2010-03-26,2010-03-29,USGG5YR Index,2,2.38804069323306,2.4892242500010475,2.5993738431121547,2.5972,True
2010-03-26,2010-03-29,USGG7YR Index,2,3.0774680045911658,3.1938404730354835,3.318245792413077,3.3256,False
2010-03-26,2010-03-29,USGG10YR Index,2,3.8543602025143784,3.9848078555702084,4.120472161933683,3.8643,True
2010-03-26,2010-03-29,USGG30YR Index,2,4.610650057466139,4.72816906343423,4.855469366063852,4.7677,True
2010-03-29,2010-03-30,USGG2YR Index,2,1.0209122827708852,1.1138775430046746,1.2077119943442678,1.0554,True
2010-03-29,2010-03-30,USGG3YR Index,2,1.5270404995599622,1.624462040024448,1.719888622115211,1.6249,True
2010-03-29,2010-03-30,USGG5YR Index,2,2.393813524710579,2.498761168843004,2.6034001803328053,2.6006,True
2010-03-29,2010-03-30,USGG7YR Index,2,3.09149430653362,3.2068554278501025,3.322160705977132,3.3105,True
2010-03-29,2010-03-30,USGG10YR Index,2,3.8767456845121027,4.0037363312885486,4.134740970905348,3.8566,False
2010-03-29,2010-03-30,USGG30YR Index,2,4.633614349105404,4.755134214138433,4.869879421679712,4.7457,True
2010-03-30,2010-03-31,USGG2YR Index,2,1.031146322539848,1.1321139200487198,1.2136846785870468,1.0158,False
2010-03-30,2010-03-31,USGG3YR Index,2,1.5354555240433718,1.6382136741058737,1.7250711152180116,1.5706,True
2010-03-30,2010-03-31,USGG5YR Index,2,2.3913338777706405,2.504777891844884,2.60544113814427,2.5435,True
2010-03-30,2010-03-31,USGG7YR Index,2,3.081422180384896,3.2042614095393307,3.316035017048712,3.2752,True
2010-03-30,2010-03-31,USGG10YR Index,2,3.857638579610106,3.9940761177008124,4.1191875864779455,3.8257,False
2010-03-30,2010-03-31,USGG30YR Index,2,4.620180058447849,4.734830356754825,4.8476660579909945,4.7129,True
2010-03-31,2010-04-01,USGG2YR Index,0,1.010843686150659,1.0788514812919536,1.1413102879743147,1.0558,True
2010-03-31,2010-04-01,USGG3YR Index,0,1.514843188733288,1.5865696286455553,1.651755243369698,1.6041,True
2010-03-31,2010-04-01,USGG5YR Index,0,2.382960887199971,2.4593293910684006,2.53667878077098,2.5873,False
2010-03-31,2010-04-01,USGG7YR Index,0,3.0845846011317763,3.1636674488446976,3.249854590422658,3.3156,False
2010-03-31,2010-04-01,USGG10YR Index,0,3.8717851834166135,3.956452435816583,4.0523247258458674,3.8685,False
2010-03-31,2010-04-01,USGG30YR Index,0,4.620004792710898,4.701867703838415,4.787775175946196,4.7278,True
2010-04-01,2010-04-02,USGG2YR Index,2,1.0256098242187546,1.1165415826745777,1.2091375562391047,1.1038,True
2010-04-01,2010-04-02,USGG3YR Index,2,1.5280545131628591,1.6265881065040033,1.7224734616982842,1.6702,True
2010-04-01,2010-04-02,USGG5YR Index,2,2.3919741177989198,2.5012439225054157,2.612408406633772,2.6684,False
2010-04-01,2010-04-02,USGG7YR Index,2,3.088888925343577,3.2079791108361038,3.3276808479404263,3.3993,False
2010-04-01,2010-04-02,USGG10YR Index,2,3.8679448163900374,4.002616979322172,4.130793354392711,3.9446,True
2010-04-01,2010-04-02,USGG30YR Index,2,4.602499226551116,4.7194340129707255,4.838373817982015,4.806,True
2010-04-02,2010-04-05,USGG2YR Index,2,1.0776462578686485,1.1730641346359783,1.2665881148581386,1.168,True
2010-04-02,2010-04-05,USGG3YR Index,2,1.5882891751747188,1.6893838607631573,1.7874128676636245,1.742,True
2010-04-02,2010-04-05,USGG5YR Index,2,2.462438512552388,2.5737003857279066,2.682686262465002,2.7363,False
2010-04-02,2010-04-05,USGG7YR Index,2,3.169486821619045,3.288699527961069,3.410920045997948,3.4504,False
2010-04-02,2010-04-05,USGG10YR Index,2,3.9554946784674843,4.088708950927398,4.224537988397846,3.9859,True
2010-04-02,2010-04-05,USGG30YR Index,2,4.677706718873821,4.797473678305865,4.916150365641397,4.8395,True
